common_name,scientific_name,latitude,longitude,observed_on,grid_id
Pato Crestón,Lophonetta specularioides,-54.81527612,-68.31870738,2023-08-26,233
Comesebo patagónico,Phrygilus patagonicus,-54.83039849,-68.36289443,2023-08-27,233
Remolinera araucana,Cinclodes patagonicus,-54.8380727867,-68.3615057543,2023-08-30,233
Comesebo patagónico,Phrygilus patagonicus,-54.6923756711,-68.1297101987,2023-08-25,374
Quetro volador,Tachyeres patachonicus,-54.8152693884,-68.318655437,2023-08-19,233
Pato Crestón,Lophonetta specularioides,-54.838571464,-68.3568127781,2023-08-31,233
Pato Barcino,Anas flavirostris,-54.8383823771,-68.3566550567,2023-08-31,233
Remolinera araucana,Cinclodes patagonicus,-54.8093377694,-68.3090363815,2023-08-27,233
Loica,Leistes loyca,-54.2678598285,-66.8105807528,2023-08-28,805
Halconcito colorado,Falco sparverius,-54.5171628966,-67.191969805,2023-09-03,570
Diucón,Pyrope pyrope,-54.8357178911,-68.3485748246,2023-07-22,233
Jote cabeza colorada,Cathartes aura,-54.8368354989,-68.3509257808,2023-07-22,233
Comesebo patagónico,Phrygilus patagonicus,-54.83422255,-68.3453514799,2023-07-22,233
Petrel plateado,Fulmarus glacialoides,-53.7945288105,-67.6643064246,2023-07-15,1300
Caminera patagónica,Geositta antarctica,-53.8137475324,-67.6378400624,2023-08-13,1254
Matamico blanco,Daptrius albogularis,-54.7912522572,-68.2198271155,2023-07-23,281
Remolinera araucana,Cinclodes patagonicus,-54.0166691962,-67.3353395239,2023-07-02,1074
Zorzal patagónico,Turdus falcklandii,-54.1756558409,-67.2796471417,2022-12-03,891
Cachaña,Enicognathus ferrugineus,-54.1750410231,-67.2791261226,2023-07-02,891
Halcón Peregrino,Falco peregrinus,-53.8054185081,-67.6865838468,2023-08-13,1300
Rara,Phytotoma rara,-54.2673713043,-66.8106518313,2021-05-21,805
Loica,Leistes loyca,-54.2676665733,-66.8104774877,2021-07-25,805
Macá grande,Podiceps major,-54.1744448393,-67.3677255213,2021-09-12,890
Fiofío silbón,Elaenia albiceps,-54.8349253,-68.4465053,2017-01-16,232
Tero,Vanellus chilensis,-54.8349253,-68.4465053,2017-01-15,232
Chimango,Daptrius chimango,-54.8349253,-68.4465053,2017-01-25,232
Pato Barcino,Anas flavirostris,-54.8349253,-68.4465053,2017-01-15,232
Carancho,Caracara plancus,-54.8349253,-68.4465053,2017-01-18,232
Chingolo,Zonotrichia capensis,-54.8349253,-68.4465053,2017-01-15,232
Bandurria austral,Theristicus melanopis,-54.8349253,-68.4465053,2017-01-22,232
Zorzal patagónico,Turdus falcklandii,-54.8268389229,-68.4423401381,2017-01-18,232
Agachona chica,Thinocorus rumicivorus,-54.0154125688,-67.3482671008,2022-01-05,1074
Picolezna patagónico,Pygarrhichas albogularis,-54.7451198278,-68.2602442034,2023-09-09,326
Chimango,Daptrius chimango,-54.7506053439,-68.2559694958,2023-09-09,280
Remolinera araucana,Cinclodes patagonicus,-54.8415975894,-68.3631230422,2023-09-10,187
Pato Barcino,Anas flavirostris,-54.8386933507,-68.3561325601,2023-09-10,233
Chorlito pecho canela,Zonibyx modestus,-54.8414988347,-68.3630424406,2023-09-10,187
Pato capuchino,Spatula versicolor,-54.1858954402,-67.2504472565,2023-09-09,891
Macá plateado,Podiceps occipitalis,-53.7515248685,-67.7025711555,2023-09-10,1345
