id,observed_on,user_id,place_guess,latitude,longitude,positional_accuracy,scientific_name_sub,common_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_subspecies_name,scientific_name
258854885,2025-01-14,1490215,"Ushuaia, Tierra del Fuego, Argentina",-54.845685606,-68.5796600372,4.0,Caracara plancus,Carancho,4715,Falconiformes,Falconidae,Caracara,,Caracara plancus
258854892,2025-01-14,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8381699599,-68.3574015101,8.0,Lessonia rufa,Sobrepuesto austral,17310,Passeriformes,Tyrannidae,Lessonia,,Lessonia rufa
258854894,2025-01-14,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8388740077,-68.3561617516,8.0,Sterna hirundinacea,Gaviotín sudamericano,4454,Charadriiformes,Laridae,Sterna,,Sterna hirundinacea
258854896,2025-01-14,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8388654696,-68.3561509588,4.0,Haematopus ater,Ostrero negro,4852,Charadriiformes,Haematopodidae,Haematopus,,Haematopus ater
258857493,2025-01-14,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8392766376,-68.3542346184,8.0,Calidris bairdii,Playerito unicolor,3851,Charadriiformes,Scolopacidae,Calidris,,Calidris bairdii
258857494,2025-01-14,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8392730114,-68.3542279129,2.0,Larus dominicanus,Gaviota cocinera,4388,Charadriiformes,Laridae,Larus,,Larus dominicanus
258857497,2025-01-14,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8392676053,-68.3542319362,2.0,Tachyeres patachonicus,Quetro volador,7133,Anseriformes,Anatidae,Tachyeres,,Tachyeres patachonicus
258857498,2025-01-14,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8392629715,-68.3542305951,2.0,Lophonetta specularioides,Pato Crestón,72994,Anseriformes,Anatidae,Lophonetta,,Lophonetta specularioides
258857499,2025-01-15,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8379778358,-68.3608006661,4.0,Haematopus leucopodus,Ostrero austral,4850,Charadriiformes,Haematopodidae,Haematopus,,Haematopus leucopodus
258857503,2025-01-15,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8379397855,-68.3608011576,8.0,Calidris bairdii,Playerito unicolor,3851,Charadriiformes,Scolopacidae,Calidris,,Calidris bairdii
258857504,2025-01-15,1490215,"V9410 Ushuaia, Tierra del Fuego, Argentina",-54.8379264253,-68.3608011576,8.0,Cinclodes patagonicus,Remolinera araucana,11379,Passeriformes,Furnariidae,Cinclodes,,Cinclodes patagonicus
258859906,2025-01-15,1490215,"Ushuaia, Tierra del Fuego, Argentina",-54.8289925276,-68.5622387722,4.0,Phrygilus patagonicus,Comesebo patagónico,10089,Passeriformes,Thraupidae,Phrygilus,,Phrygilus patagonicus
258859907,2025-01-15,1490215,"Ushuaia, Tierra del Fuego, Argentina",-54.8289988253,-68.5622280434,4.0,Theristicus melanopis,Bandurria austral,980018,Pelecaniformes,Threskiornithidae,Theristicus,,Theristicus melanopis
258859909,2025-01-15,1490215,"Ushuaia, Tierra del Fuego, Argentina",-54.8289880103,-68.5622132912,4.0,Turdus falcklandii,Zorzal patagónico,12751,Passeriformes,Turdidae,Turdus,,Turdus falcklandii
258859911,2025-01-15,1490215,"Ushuaia, Tierra del Fuego, Argentina",-54.8289811166,-68.5622407839,4.0,Aphrastura spinicauda,Rayadito,11766,Passeriformes,Furnariidae,Aphrastura,,Aphrastura spinicauda
